outcome,term,log_odds,odds_ratio,ordinary_se,ordinary_p,cluster_robust_se,cluster_robust_z,cluster_robust_p,conf_low,conf_high,n_observations,n_images,p_holm_within_endpoint,p_holm_all_endpoints
Benign/malignant accuracy,(Intercept),0.4037384028247452,1.4974121769217308,0.26154628260950663,0.12267084349033473,0.360763569398817,1.1191218766837856,0.2630881480826411,0.7383441758674474,3.0368536800052173,924,231,NA,NA
Benign/malignant accuracy,appAI Skin Scanner,-0.05041715784063288,0.9508326944433231,0.2245534800987787,0.8223512841217018,0.1867708656196043,-0.26994123346473836,0.7872054645462723,0.6593628244241948,1.3711461722335696,924,231,1,1
Benign/malignant accuracy,appModel Dermatol,-0.19711707693955086,0.8210944964543362,0.22222073663145483,0.3750612544374175,0.1791400116124312,-1.1003520384157,0.27117876692009385,0.5779747780289363,1.1664802647735026,924,231,1,1
Benign/malignant accuracy,appClaude,0.5699840587313749,1.7682388632383457,0.24129935347970882,0.018169534529344823,0.21030670660465314,2.7102514605150674,0.0067232215101195435,1.1709208471309513,2.6702647622403823,924,231,0.06723221510119544,0.18152698077322768
Benign/malignant accuracy,fitzpatrick_scale2,0.39675227372753813,1.4869875185454196,0.2845759634077068,0.16326096750745808,0.42580229780952966,0.9317757930583404,0.35145240721873516,0.6454517017414185,3.425712372194954,924,231,1,1
Benign/malignant accuracy,fitzpatrick_scale3,-0.2201198882466882,0.8024225911580042,0.26813077555333603,0.4116791507987936,0.4321922824566955,-0.5093100853061707,0.6105348898286869,0.3439698756397477,1.8719139680565717,924,231,1,1
Benign/malignant accuracy,fitzpatrick_scale4,0.5805886349113173,1.787090064807262,0.29222424606541275,0.0469455119918604,0.4455575490960352,1.3030609313863912,0.1925539603197259,0.7462548505799276,4.279624979658024,924,231,1,1
Benign/malignant accuracy,fitzpatrick_scale5,0.010444234294882162,1.010498965686423,0.2630229999537583,0.9683255689507598,0.3840634783925148,0.02719403141011003,0.978304976192003,0.47601479127249635,2.1451185517233093,924,231,1,1
Benign/malignant accuracy,fitzpatrick_scale6,-0.2697588683732886,0.7635635914710495,0.2926822851631875,0.3566964788216406,0.41447603386595944,-0.650843103899532,0.5151477723619791,0.33887737347448926,1.7204729611847578,924,231,1,1
Benign/malignant accuracy,labelsquamous cell carcinoma,0.09930858202087904,1.1044070471403689,0.19436559469056305,0.6093951423121039,0.2776516966587456,0.35767324030775366,0.7205878611879537,0.6409019847391512,1.9031224037630907,924,231,1,1
Benign/malignant accuracy,labelbasal cell carcinoma,0.6585213518735635,1.9319335714148584,0.2110014553221226,0.0018027919984326408,0.278112925806781,2.36782001398623,0.017893238214151348,1.1201135159044624,3.3321331020150944,924,231,0.16103914392736213,0.46522419356793504
Benign/malignant accuracy,labelbenign nevus,2.9932708416041858,19.95083189779708,0.4381102143889312,8.36032098234807e-12,0.5034849153619421,5.945105305592725,2.7627918538039595e-9,7.4369330599715,53.52148395103112,924,231,3.0390710391843553e-8,9.117213117553067e-8
Top-1 diagnosis accuracy,(Intercept),-0.35895732733382635,0.6984041534829968,0.23214200477507407,0.12203614035497265,0.2870250234431002,-1.2506133542916895,0.2110755760165399,0.39791532963359366,1.22580942546608,924,231,NA,NA
