app,outcome,n,correct_n,accuracy,ci_low,ci_high
ChatGPT,Top-1 diagnosis accuracy,252,38,0.15079365079365079,0.11187549656205795,0.20019846982605125
Claude,Top-1 diagnosis accuracy,252,63,0.25,0.20056161990369697,0.30694587876051754
ChatGPT,Benign/malignant accuracy,252,198,0.7857142857142857,0.7309620297114576,0.8318865432437257
Claude,Benign/malignant accuracy,252,199,0.7896825396825397,0.7352064164667393,0.8354594977794882
