app,disease,outcome,n,correct_n,accuracy,ci_low,ci_high
ChatGPT,seborrheic-keratosis,Benign/malignant accuracy,54,40,0.7407407407407407,0.6106910949571832,0.8388134737397926
ChatGPT,seborrheic-keratosis-irritated,Benign/malignant accuracy,3,3,1,0.4385029682449546,1
ChatGPT,squamous-cell-carcinoma,Benign/malignant accuracy,9,4,0.4444444444444444,0.18877852109766463,0.7333487065045068
ChatGPT,squamous-cell-carcinoma-in-situ,Benign/malignant accuracy,9,4,0.4444444444444444,0.18877852109766463,0.7333487065045068
ChatGPT,squamous-cell-carcinoma-keratoacanthoma,Benign/malignant accuracy,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
ChatGPT,verruca-vulgaris,Benign/malignant accuracy,21,15,0.7142857142857143,0.5004361928391442,0.8618613704787786
Claude,acrochordon,Benign/malignant accuracy,3,3,1,0.4385029682449546,1
Claude,angioma,Benign/malignant accuracy,3,3,1,0.4385029682449546,1
Claude,dermatofibroma,Benign/malignant accuracy,18,15,0.8333333333333334,0.6077796189608429,0.9416342319413855
Claude,eccrine-poroma,Benign/malignant accuracy,3,3,1,0.4385029682449546,1
Claude,epidermal-cyst,Benign/malignant accuracy,15,10,0.6666666666666666,0.41713547738519785,0.8482367556028527
Claude,inverted-follicular-keratosis,Benign/malignant accuracy,3,3,1,0.4385029682449546,1
Claude,kaposi-sarcoma,Benign/malignant accuracy,3,0,0,0,0.5614970317550454
Claude,lipoma,Benign/malignant accuracy,3,3,1,0.4385029682449546,1
Claude,melanocytic-nevi,Benign/malignant accuracy,69,66,0.9565217391304348,0.8797879725062087,0.9851040961037877
Claude,melanoma,Benign/malignant accuracy,3,0,0,0,0.5614970317550454
Claude,metastatic-carcinoma,Benign/malignant accuracy,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
Claude,mycosis-fungoides,Benign/malignant accuracy,9,3,0.3333333333333333,0.1205838183869109,0.6457978644196036
Claude,nevus-lipomatosus-superficialis,Benign/malignant accuracy,6,5,0.8333333333333334,0.43649717781352987,0.9699466302516933
Claude,prurigo-nodularis,Benign/malignant accuracy,3,3,1,0.4385029682449546,1
Claude,pyogenic-granuloma,Benign/malignant accuracy,9,8,0.8888888888888888,0.565000294423344,0.980109112361455
Claude,seborrheic-keratosis,Benign/malignant accuracy,54,46,0.8518518518518519,0.7339988471639411,0.9229693686239466
Claude,seborrheic-keratosis-irritated,Benign/malignant accuracy,3,2,0.6666666666666666,0.20765960080204776,0.9385080552796037
Claude,squamous-cell-carcinoma,Benign/malignant accuracy,9,4,0.4444444444444444,0.18877852109766463,0.7333487065045068
Claude,squamous-cell-carcinoma-in-situ,Benign/malignant accuracy,9,1,0.1111111111111111,0.01989088763854488,0.4349997055766559
Claude,squamous-cell-carcinoma-keratoacanthoma,Benign/malignant accuracy,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
Claude,verruca-vulgaris,Benign/malignant accuracy,21,19,0.9047619047619048,0.7108586092608176,0.9734812325619255
