app,outcome,label,fitzpatrick_scale,n,correct_n,accuracy,ci_low,ci_high
AI Skin Scanner,Benign/malignant accuracy,melanoma spectrum,5,11,6,0.5454545454545454,0.2800915374093221,0.7872872837754024
AI Skin Scanner,Benign/malignant accuracy,melanoma spectrum,6,9,5,0.5555555555555556,0.26665129349549316,0.8112214789023353
AI Skin Scanner,Benign/malignant accuracy,squamous cell carcinoma,1,10,8,0.8,0.49016247153664183,0.9433178485456247
AI Skin Scanner,Benign/malignant accuracy,squamous cell carcinoma,2,10,9,0.9,0.5958499732047616,0.982123786904927
AI Skin Scanner,Benign/malignant accuracy,squamous cell carcinoma,3,10,6,0.6,0.3126737697336583,0.8318196702937637
AI Skin Scanner,Benign/malignant accuracy,squamous cell carcinoma,4,10,6,0.6,0.3126737697336583,0.8318196702937637
AI Skin Scanner,Benign/malignant accuracy,squamous cell carcinoma,5,10,6,0.6,0.3126737697336583,0.8318196702937637
AI Skin Scanner,Benign/malignant accuracy,squamous cell carcinoma,6,10,3,0.3,0.10779126740630104,0.6032218525388545
AI Skin Scanner,Benign/malignant accuracy,basal cell carcinoma,1,10,6,0.6,0.3126737697336583,0.8318196702937637
AI Skin Scanner,Benign/malignant accuracy,basal cell carcinoma,2,10,8,0.8,0.49016247153664183,0.9433178485456247
AI Skin Scanner,Benign/malignant accuracy,basal cell carcinoma,3,10,7,0.7,0.39677814746114537,0.8922087325936989
AI Skin Scanner,Benign/malignant accuracy,basal cell carcinoma,4,10,10,1,0.7224672001371109,1
AI Skin Scanner,Benign/malignant accuracy,basal cell carcinoma,5,15,13,0.8666666666666667,0.6211801716767765,0.9626387408969347
AI Skin Scanner,Benign/malignant accuracy,basal cell carcinoma,6,3,1,0.3333333333333333,0.06149194472039626,0.7923403991979521
AI Skin Scanner,Benign/malignant accuracy,benign nevus,1,11,10,0.9090909090909091,0.6226415635484046,0.9837678271141153
AI Skin Scanner,Benign/malignant accuracy,benign nevus,2,10,9,0.9,0.5958499732047616,0.982123786904927
AI Skin Scanner,Benign/malignant accuracy,benign nevus,3,10,10,1,0.7224672001371109,1
AI Skin Scanner,Benign/malignant accuracy,benign nevus,4,10,10,1,0.7224672001371109,1
AI Skin Scanner,Benign/malignant accuracy,benign nevus,5,10,9,0.9,0.5958499732047616,0.982123786904927
AI Skin Scanner,Benign/malignant accuracy,benign nevus,6,2,2,1,0.3423802275066532,1
Model Dermatol,Top-1 diagnosis accuracy,melanoma spectrum,1,10,6,0.6,0.3126737697336583,0.8318196702937637
Model Dermatol,Top-1 diagnosis accuracy,melanoma spectrum,2,10,4,0.4,0.16818032970623614,0.6873262302663417
Model Dermatol,Top-1 diagnosis accuracy,melanoma spectrum,3,10,5,0.5,0.23659309051256405,0.763406909487436
Model Dermatol,Top-1 diagnosis accuracy,melanoma spectrum,4,10,7,0.7,0.39677814746114537,0.8922087325936989
Model Dermatol,Top-1 diagnosis accuracy,melanoma spectrum,5,11,4,0.36363636363636365,0.15166471095367573,0.646198825492151
Model Dermatol,Top-1 diagnosis accuracy,melanoma spectrum,6,9,4,0.4444444444444444,0.18877852109766463,0.7333487065045068
Model Dermatol,Top-1 diagnosis accuracy,squamous cell carcinoma,1,10,6,0.6,0.3126737697336583,0.8318196702937637
Model Dermatol,Top-1 diagnosis accuracy,squamous cell carcinoma,2,10,8,0.8,0.49016247153664183,0.9433178485456247
Model Dermatol,Top-1 diagnosis accuracy,squamous cell carcinoma,3,10,6,0.6,0.3126737697336583,0.8318196702937637
Model Dermatol,Top-1 diagnosis accuracy,squamous cell carcinoma,4,10,4,0.4,0.16818032970623614,0.6873262302663417
Model Dermatol,Top-1 diagnosis accuracy,squamous cell carcinoma,5,10,5,0.5,0.23659309051256405,0.763406909487436
Model Dermatol,Top-1 diagnosis accuracy,squamous cell carcinoma,6,10,3,0.3,0.10779126740630104,0.6032218525388545
Model Dermatol,Top-1 diagnosis accuracy,basal cell carcinoma,1,10,7,0.7,0.39677814746114537,0.8922087325936989
Model Dermatol,Top-1 diagnosis accuracy,basal cell carcinoma,2,10,9,0.9,0.5958499732047616,0.982123786904927
Model Dermatol,Top-1 diagnosis accuracy,basal cell carcinoma,3,10,8,0.8,0.49016247153664183,0.9433178485456247
Model Dermatol,Top-1 diagnosis accuracy,basal cell carcinoma,4,10,9,0.9,0.5958499732047616,0.982123786904927
Model Dermatol,Top-1 diagnosis accuracy,basal cell carcinoma,5,15,12,0.8,0.5481455128483066,0.9295245065301845
Model Dermatol,Top-1 diagnosis accuracy,basal cell carcinoma,6,3,3,1,0.4385029682449546,1
Model Dermatol,Top-1 diagnosis accuracy,benign nevus,1,11,6,0.5454545454545454,0.2800915374093221,0.7872872837754024
Model Dermatol,Top-1 diagnosis accuracy,benign nevus,2,10,3,0.3,0.10779126740630104,0.6032218525388545
Model Dermatol,Top-1 diagnosis accuracy,benign nevus,3,10,5,0.5,0.23659309051256405,0.763406909487436
Model Dermatol,Top-1 diagnosis accuracy,benign nevus,4,10,7,0.7,0.39677814746114537,0.8922087325936989
Model Dermatol,Top-1 diagnosis accuracy,benign nevus,5,10,5,0.5,0.23659309051256405,0.763406909487436
Model Dermatol,Top-1 diagnosis accuracy,benign nevus,6,2,1,0.5,0.09453120573423074,0.9054687942657693
Model Dermatol,Any diagnosis accuracy,melanoma spectrum,1,10,6,0.6,0.3126737697336583,0.8318196702937637
Model Dermatol,Any diagnosis accuracy,melanoma spectrum,2,10,6,0.6,0.3126737697336583,0.8318196702937637
Model Dermatol,Any diagnosis accuracy,melanoma spectrum,3,10,6,0.6,0.3126737697336583,0.8318196702937637
Model Dermatol,Any diagnosis accuracy,melanoma spectrum,4,10,9,0.9,0.5958499732047616,0.982123786904927
Model Dermatol,Any diagnosis accuracy,melanoma spectrum,5,11,5,0.45454545454545453,0.2127127162245977,0.719908462590678
Model Dermatol,Any diagnosis accuracy,melanoma spectrum,6,9,5,0.5555555555555556,0.26665129349549316,0.8112214789023353
Model Dermatol,Any diagnosis accuracy,squamous cell carcinoma,1,10,7,0.7,0.39677814746114537,0.8922087325936989
Model Dermatol,Any diagnosis accuracy,squamous cell carcinoma,2,10,8,0.8,0.49016247153664183,0.9433178485456247
Model Dermatol,Any diagnosis accuracy,squamous cell carcinoma,3,10,6,0.6,0.3126737697336583,0.8318196702937637
Model Dermatol,Any diagnosis accuracy,squamous cell carcinoma,4,10,5,0.5,0.23659309051256405,0.763406909487436
Model Dermatol,Any diagnosis accuracy,squamous cell carcinoma,5,10,5,0.5,0.23659309051256405,0.763406909487436
Model Dermatol,Any diagnosis accuracy,squamous cell carcinoma,6,10,5,0.5,0.23659309051256405,0.763406909487436
Model Dermatol,Any diagnosis accuracy,basal cell carcinoma,1,10,7,0.7,0.39677814746114537,0.8922087325936989
Model Dermatol,Any diagnosis accuracy,basal cell carcinoma,2,10,9,0.9,0.5958499732047616,0.982123786904927
Model Dermatol,Any diagnosis accuracy,basal cell carcinoma,3,10,9,0.9,0.5958499732047616,0.982123786904927
Model Dermatol,Any diagnosis accuracy,basal cell carcinoma,4,10,10,1,0.7224672001371109,1
