app,metric,estimate,low,high
AI Skin Scanner,AUROC,0.8777824888700445,0.8379266482934068,0.9148319906720372
AI Skin Scanner,AUPRC,0.9484619054527061,0.9327063071535834,0.9628564176234594
ChatGPT,AUROC,0.9164723341106635,0.8731118825524697,0.9525148399406402
ChatGPT,AUPRC,0.9639210784036427,0.9434821750786244,0.9804648481150007
Claude,AUROC,0.9439262242951029,0.9125490248039008,0.9708514415942336
Claude,AUPRC,0.9770594570556538,0.9633369600087524,0.9883661942815941
Model Dermatol,AUROC,0.8706275174899301,0.8359643311426755,0.9022180411278354
Model Dermatol,AUPRC,0.9417411095621694,0.927119387537934,0.956174911231091
