metric,test_p,llm_mean,phone_mean,p_holm,winner,sig_label
Top-1 diagnosis,0.09658421563628583,0.4307359307359307,0.4805194805194804,0.11273001076190331,Smartphone apps,"Not significant, Holm P=.113"
Top-3 diagnosis,0.056365005380951655,0.67965367965368,0.6277056277056281,0.11273001076190331,LLMs,"Not significant, Holm P=.113"
Benign/malignant triage,0.009017695418455995,0.7835497835497832,0.7186147186147187,0.027053086255367984,LLMs,"LLMs higher, Holm P=.027"
