metric,family,mean,ci_low,ci_high
Top-1 diagnosis,LLMs,0.4307359307359307,0.3774272009502557,0.48404466052160566
Top-1 diagnosis,Smartphone apps,0.4805194805194804,0.42947199475755826,0.5315669662814025
Top-3 diagnosis,LLMs,0.67965367965368,0.6292312282789698,0.7300761310283901
Top-3 diagnosis,Smartphone apps,0.6277056277056281,0.5757217507491232,0.679689504662133
Benign/malignant triage,LLMs,0.7835497835497832,0.7402340443466974,0.8268655227528691
Benign/malignant triage,Smartphone apps,0.7186147186147187,0.6675331629922929,0.7696962742371445
