app,recall,precision
AI Skin Scanner,0,1
AI Skin Scanner,0.14606741573033707,1
AI Skin Scanner,0.17415730337078653,1
AI Skin Scanner,0.19662921348314608,1
AI Skin Scanner,0.20786516853932585,1
AI Skin Scanner,0.2303370786516854,1
AI Skin Scanner,0.25280898876404495,1
AI Skin Scanner,0.2640449438202247,1
AI Skin Scanner,0.2696629213483146,1
AI Skin Scanner,0.2808988764044944,1
AI Skin Scanner,0.29775280898876405,1
AI Skin Scanner,0.3202247191011236,1
AI Skin Scanner,0.34269662921348315,1
AI Skin Scanner,0.3539325842696629,1
AI Skin Scanner,0.3595505617977528,1
AI Skin Scanner,0.3651685393258427,1
AI Skin Scanner,0.37640449438202245,1
AI Skin Scanner,0.398876404494382,1
AI Skin Scanner,0.4044943820224719,1
AI Skin Scanner,0.4101123595505618,1
AI Skin Scanner,0.42134831460674155,1
AI Skin Scanner,0.42696629213483145,1
AI Skin Scanner,0.43258426966292135,1
AI Skin Scanner,0.449438202247191,1
AI Skin Scanner,0.46629213483146065,1
AI Skin Scanner,0.47191011235955055,0.9882352941176471
AI Skin Scanner,0.47752808988764045,0.9883720930232558
AI Skin Scanner,0.48314606741573035,0.9885057471264368
AI Skin Scanner,0.4943820224719101,0.9887640449438202
AI Skin Scanner,0.5056179775280899,0.989010989010989
AI Skin Scanner,0.5168539325842697,0.989247311827957
AI Skin Scanner,0.5337078651685393,0.9895833333333334
AI Skin Scanner,0.5393258426966292,0.9896907216494846
AI Skin Scanner,0.5449438202247191,0.9897959183673469
AI Skin Scanner,0.5561797752808989,0.99
AI Skin Scanner,0.5617977528089888,0.9803921568627451
AI Skin Scanner,0.5674157303370787,0.9711538461538461
AI Skin Scanner,0.5730337078651685,0.9714285714285714
AI Skin Scanner,0.5786516853932584,0.9716981132075472
AI Skin Scanner,0.5955056179775281,0.9724770642201835
AI Skin Scanner,0.601123595505618,0.9727272727272728
AI Skin Scanner,0.6123595505617978,0.9732142857142857
AI Skin Scanner,0.6179775280898876,0.9734513274336283
AI Skin Scanner,0.6235955056179775,0.9736842105263158
AI Skin Scanner,0.6292134831460674,0.9739130434782609
AI Skin Scanner,0.6404494382022472,0.9743589743589743
AI Skin Scanner,0.651685393258427,0.9747899159663865
AI Skin Scanner,0.6685393258426966,0.9754098360655737
AI Skin Scanner,0.6797752808988764,0.9758064516129032
AI Skin Scanner,0.6853932584269663,0.976
AI Skin Scanner,0.6966292134831461,0.9763779527559056
AI Skin Scanner,0.702247191011236,0.9765625
AI Skin Scanner,0.7078651685393258,0.9767441860465116
AI Skin Scanner,0.7191011235955056,0.9770992366412213
