target,app,n,positive_n,negative_n,tp,fn,tn,fp,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,stratum
melanoma_vs_rest,Claude,231,60,171,35,25,170,1,0.5833333333333334,0.4572808102264012,0.6993572144165838,0.9941520467836257,0.9676230218186956,0.9989669456861814,0.9722222222222222,0.8583028134672613,0.9950795928601893,0.8717948717948718,0.8175921769724341,0.9116320042419783,0.8874458874458875,0.8401928543788795,0.9220234974479498,Overall
melanoma_vs_rest,Model Dermatol,231,60,171,30,30,92,79,0.5,0.3773502424155577,0.6226497575844423,0.5380116959064327,0.4632730448462221,0.6110800295772298,0.27522935779816515,0.20012023356731107,0.36564220417411036,0.7540983606557377,0.6707060180057385,0.8219773995342712,0.5281385281385281,0.4638293832562316,0.5915271115691806,Overall
squamous_cell_carcinoma_vs_rest,AI Skin Scanner,231,60,171,11,49,166,5,0.18333333333333332,0.10557796889197642,0.2991975374646805,0.9707602339181286,0.933387031749114,0.9874471976490231,0.6875,0.4440435583474067,0.8583535614521796,0.772093023255814,0.711534722197337,0.8230988917005805,0.7662337662337663,0.7075746173766893,0.8161829875099029,Overall
squamous_cell_carcinoma_vs_rest,ChatGPT,231,60,171,21,39,162,9,0.35,0.24167774406017556,0.47637381158245123,0.9473684210526315,0.9030120896776656,0.9720664016137318,0.7,0.5212421254128505,0.833352517317562,0.8059701492537313,0.7457747586995543,0.8546896234042013,0.7922077922077922,0.7353169370867648,0.8395389707155924,Overall
squamous_cell_carcinoma_vs_rest,Claude,231,60,171,31,29,153,18,0.5166666666666667,0.393078100325925,0.6382495046026722,0.8947368421052632,0.8397551040187081,0.9323729765325248,0.6326530612244898,0.4926706756079243,0.7533482703131685,0.8406593406593407,0.7805287195990772,0.8867066797939035,0.7965367965367965,0.7399700979828292,0.8434021936388221,Overall
squamous_cell_carcinoma_vs_rest,Model Dermatol,231,60,171,32,28,93,78,0.5333333333333333,0.40893427027157897,0.653720939585615,0.543859649122807,0.46906215053943956,0.6167298584106974,0.2909090909090909,0.2142358333955645,0.3816934486382133,0.768595041322314,0.6858917349003167,0.8347686339708725,0.5411255411255411,0.4767174022498553,0.6041882440334394,Overall
basal_cell_carcinoma_vs_rest,AI Skin Scanner,81,20,61,12,8,52,9,0.6,0.38658150076225317,0.7811934676271829,0.8524590163934426,0.742767647052789,0.9203883149206723,0.5714285714285714,0.36546554369306716,0.7553003107462404,0.8666666666666667,0.7583484032350039,0.9308589051941303,0.7901234567901234,0.6893461803165967,0.8646282639386685,I-II
basal_cell_carcinoma_vs_rest,AI Skin Scanner,80,20,60,16,4,56,4,0.8,0.5839825677481065,0.9193423374202019,0.9333333333333333,0.8407464268680284,0.9737713012754937,0.8,0.5839825677481065,0.9193423374202019,0.9333333333333333,0.8407464268680284,0.9737713012754937,0.9,0.8148931119389592,0.9484523844326193,III-IV
basal_cell_carcinoma_vs_rest,AI Skin Scanner,70,18,52,13,5,50,2,0.7222222222222222,0.49127343439702553,0.87500246620446,0.9615384615384616,0.8701881084254424,0.9893882889986847,0.8666666666666667,0.6211801716767765,0.9626387408969347,0.9090909090909091,0.8042250541602005,0.9605418449258196,0.9,0.807670851514326,0.9507106985574605,V-VI
basal_cell_carcinoma_vs_rest,ChatGPT,81,20,61,9,11,57,4,0.45,0.25819785825562425,0.6579146575496576,0.9344262295081968,0.8431719832010424,0.9742062955104335,0.6923076923076923,0.42369343180549046,0.8731929634428949,0.8382352941176471,0.733099723993876,0.9071990777719586,0.8148148148148148,0.7166841055275462,0.8844370999409331,I-II
basal_cell_carcinoma_vs_rest,ChatGPT,80,20,60,11,9,53,7,0.55,0.3420853424503424,0.7418021417443758,0.8833333333333333,0.7782121197582914,0.9423227935994396,0.6111111111111112,0.38619041602237913,0.7969475342783637,0.8548387096774194,0.7465660628844542,0.9217058859468299,0.8,0.6995375627182918,0.8729715595603922,III-IV
basal_cell_carcinoma_vs_rest,ChatGPT,70,18,52,10,8,48,4,0.5555555555555556,0.33716415642042785,0.7544048187299436,0.9230769230769231,0.8182643761570467,0.9696806548150698,0.7142857142857143,0.4535091567010683,0.8827862135542308,0.8571428571428571,0.7426407877129466,0.9257921146307937,0.8285714285714286,0.7238335196785457,0.8991227535947075,V-VI
basal_cell_carcinoma_vs_rest,Claude,81,20,61,8,12,59,2,0.4,0.21880653237281714,0.6134184992377468,0.9672131147540983,0.8881050958050438,0.9909621096016377,0.8,0.49016247153664183,0.9433178485456247,0.8309859154929577,0.7274087200136652,0.9005854524757173,0.8271604938271605,0.7305386248522878,0.8941559612227987,I-II
basal_cell_carcinoma_vs_rest,Claude,80,20,60,7,13,56,4,0.35,0.18119182410108212,0.56714572331476365,0.9333333333333333,0.8407464268680284,0.9737713012754937,0.6363636363636364,0.3538011745078489,0.8483352890463243,0.8115942028985508,0.7038706411837159,0.8864525167564403,0.7875,0.6857784426940334,0.8628761328230385,III-IV
basal_cell_carcinoma_vs_rest,Claude,70,18,52,2,16,48,4,0.1111111111111111,0.03101952264561242,0.32799765130178793,0.9230769230769231,0.8182643761570467,0.9696806548150698,0.3333333333333333,0.09677141110578052,0.7000066848616078,0.75,0.63183723541330306,0.8398507346902941,0.7142857142857143,0.5994980341827976,0.8067777962128024,V-VI
basal_cell_carcinoma_vs_rest,Model Dermatol,81,20,61,16,4,37,24,0.8,0.5839825677481065,0.9193423374202019,0.6065573770491803,0.4811725262897894,0.7193164854696292,0.4,0.2634832568429193,0.554041063396538,0.9024390243902439,0.7745231869447663,0.9614029151019107,0.654320987654321,0.5458937528984923,0.7487735046840956,I-II
basal_cell_carcinoma_vs_rest,Model Dermatol,80,20,60,17,3,38,22,0.85,0.6395811352592431,0.9476312541037835,0.6333333333333333,0.5068300063010303,0.7437908331277456,0.4358974358974359,0.2930475387568964,0.5902430835133051,0.926829268292683,0.8057255146228096,0.9748021693660901,0.6875,0.5793222425531256,0.7784959588710517,III-IV
basal_cell_carcinoma_vs_rest,Model Dermatol,70,18,52,15,3,37,15,0.8333333333333334,0.6077796189608429,0.9416342319413855,0.7115384615384616,0.5772721196331575,0.8167003958529008,0.5,0.3315412564053377,0.6684587435946623,0.925,0.8013576647568947,0.9741639742254118,0.7428571428571429,0.6297386985284518,0.8307072425865615,V-VI
malignant_vs_benign,AI Skin Scanner,81,60,21,41,19,19,2,0.6833333333333333,0.5576623297382323,0.7869413244763347,0.9047619047619048,0.7108586092608176,0.9734812325619255,0.9534883720930233,0.8454450199593604,0.9871507399056196,0.5,0.3484992836439511,0.6515007163560489,0.7407407407407407,0.6359565111747225,0.8237244106541146,I-II
malignant_vs_benign,AI Skin Scanner,80,60,20,44,16,20,0,0.7333333333333333,0.6099128690331636,0.8286735999671945,1,0.8388748419471808,1,1,0.9197043962415193,0.9999999999999999,0.5555555555555556,0.395810617556973,0.7045873125991978,0.8,0.6995375627182918,0.8729715595603922,III-IV
malignant_vs_benign,AI Skin Scanner,70,58,12,34,24,11,1,0.5862068965517241,0.45798408170855665,0.7037197362591668,0.9166666666666666,0.6461200888588832,0.9851349055950829,0.9714285714285714,0.8546691276638634,0.9949385081445559,0.3142857142857143,0.18550844674265826,0.4797976361206919,0.6428571428571429,0.5258839463134151,0.7449666072836516,V-VI
malignant_vs_benign,ChatGPT,81,60,21,41,19,20,1,0.6833333333333333,0.5576623297382323,0.7869413244763347,0.9523809523809523,0.7733063992587743,0.9915440121901735,0.9761904761904762,0.8767879842623336,0.9957845958655676,0.5128205128205128,0.3619936288445797,0.6613482467013798,0.7530864197530864,0.649157421322665,0.8340968811127794,I-II
malignant_vs_benign,ChatGPT,80,60,20,39,21,19,1,0.65,0.5236261884175486,0.7583222559398244,0.95,0.763868806553258,0.9911185511992047,0.975,0.8711863103652591,0.9955731684973186,0.475,0.3293547011267891,0.6250263789330752,0.725,0.6185594135898548,0.810822428119158,III-IV
malignant_vs_benign,ChatGPT,70,58,12,40,18,12,0,0.6896551724137931,0.561969355757183,0.7937790437718091,1,0.7575059933447593,1,1,0.9123783988027133,0.9999999999999999,0.4,0.24590628116801858,0.5767963974667751,0.7428571428571429,0.6297386985284518,0.8307072425865615,V-VI
malignant_vs_benign,Claude,81,60,21,50,10,20,1,0.8333333333333334,0.7196838683638547,0.9068682302080855,0.9523809523809523,0.7733063992587743,0.9915440121901735,0.9803921568627451,0.8969543127385502,0.9965303073589391,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.8641975308641975,0.7729693623122127,0.9224453655826947,I-II
malignant_vs_benign,Claude,80,60,20,45,15,20,0,0.75,0.6276792992295219,0.8422347746994332,1,0.8388748419471808,1,1,0.9213484012671117,1,0.5714285714285714,0.4085741114397492,0.7201543182281931,0.8125,0.7134167737100688,0.8829468953302267,III-IV
