app,fpr,tpr
AI Skin Scanner,0,0
AI Skin Scanner,0,0.14606741573033707
AI Skin Scanner,0,0.17415730337078653
AI Skin Scanner,0,0.19662921348314608
AI Skin Scanner,0,0.20786516853932585
AI Skin Scanner,0,0.2303370786516854
AI Skin Scanner,0,0.25280898876404495
AI Skin Scanner,0,0.2640449438202247
AI Skin Scanner,0,0.2696629213483146
AI Skin Scanner,0,0.2808988764044944
AI Skin Scanner,0,0.29775280898876405
AI Skin Scanner,0,0.3202247191011236
AI Skin Scanner,0,0.34269662921348315
AI Skin Scanner,0,0.3539325842696629
AI Skin Scanner,0,0.3595505617977528
AI Skin Scanner,0,0.3651685393258427
AI Skin Scanner,0,0.37640449438202245
AI Skin Scanner,0,0.398876404494382
AI Skin Scanner,0,0.4044943820224719
AI Skin Scanner,0,0.4101123595505618
AI Skin Scanner,0,0.42134831460674155
AI Skin Scanner,0,0.42696629213483145
AI Skin Scanner,0,0.43258426966292135
AI Skin Scanner,0,0.449438202247191
AI Skin Scanner,0,0.46629213483146065
AI Skin Scanner,0.018867924528301886,0.47191011235955055
AI Skin Scanner,0.018867924528301886,0.47752808988764045
AI Skin Scanner,0.018867924528301886,0.48314606741573035
AI Skin Scanner,0.018867924528301886,0.4943820224719101
AI Skin Scanner,0.018867924528301886,0.5056179775280899
AI Skin Scanner,0.018867924528301886,0.5168539325842697
AI Skin Scanner,0.018867924528301886,0.5337078651685393
AI Skin Scanner,0.018867924528301886,0.5393258426966292
AI Skin Scanner,0.018867924528301886,0.5449438202247191
AI Skin Scanner,0.018867924528301886,0.5561797752808989
AI Skin Scanner,0.03773584905660377,0.5617977528089888
AI Skin Scanner,0.05660377358490566,0.5617977528089888
AI Skin Scanner,0.05660377358490566,0.5674157303370787
AI Skin Scanner,0.05660377358490566,0.5730337078651685
AI Skin Scanner,0.05660377358490566,0.5786516853932584
AI Skin Scanner,0.05660377358490566,0.5955056179775281
AI Skin Scanner,0.05660377358490566,0.601123595505618
AI Skin Scanner,0.05660377358490566,0.6123595505617978
AI Skin Scanner,0.05660377358490566,0.6179775280898876
AI Skin Scanner,0.05660377358490566,0.6235955056179775
AI Skin Scanner,0.05660377358490566,0.6292134831460674
AI Skin Scanner,0.05660377358490566,0.6404494382022472
AI Skin Scanner,0.05660377358490566,0.651685393258427
AI Skin Scanner,0.05660377358490566,0.6685393258426966
AI Skin Scanner,0.05660377358490566,0.6797752808988764
AI Skin Scanner,0.05660377358490566,0.6853932584269663
AI Skin Scanner,0.05660377358490566,0.6966292134831461
AI Skin Scanner,0.05660377358490566,0.702247191011236
AI Skin Scanner,0.05660377358490566,0.7078651685393258
AI Skin Scanner,0.05660377358490566,0.7191011235955056
AI Skin Scanner,0.05660377358490566,0.7247191011235955
AI Skin Scanner,0.05660377358490566,0.7359550561797753
AI Skin Scanner,0.05660377358490566,0.7415730337078652
AI Skin Scanner,0.07547169811320754,0.7415730337078652
AI Skin Scanner,0.07547169811320754,0.7471910112359551
AI Skin Scanner,0.07547169811320754,0.7584269662921348
AI Skin Scanner,0.07547169811320754,0.7640449438202247
AI Skin Scanner,0.07547169811320754,0.7696629213483146
AI Skin Scanner,0.07547169811320754,0.7752808988764045
AI Skin Scanner,0.09433962264150944,0.7752808988764045
AI Skin Scanner,0.09433962264150944,0.7808988764044944
AI Skin Scanner,0.09433962264150944,0.7865168539325843
AI Skin Scanner,0.09433962264150944,0.8089887640449438
AI Skin Scanner,1,1
ChatGPT,0,0
ChatGPT,0,0.0056179775280898875
ChatGPT,0,0.02247191011235955
ChatGPT,0,0.033707865168539325
ChatGPT,0,0.06179775280898876
ChatGPT,0,0.07865168539325842
ChatGPT,0,0.11235955056179775
ChatGPT,0,0.15168539325842698
ChatGPT,0.018867924528301886,0.24719101123595505
ChatGPT,0.018867924528301886,0.48314606741573035
ChatGPT,0.03773584905660377,0.6741573033707865
ChatGPT,0.05660377358490566,0.7359550561797753
ChatGPT,0.11320754716981132,0.8314606741573034
ChatGPT,0.11320754716981132,0.8932584269662921
ChatGPT,0.20754716981132076,0.9101123595505618
ChatGPT,0.20754716981132076,0.9157303370786517
ChatGPT,1,1
Claude,0,0
Claude,0,0.02247191011235955
Claude,0,0.0898876404494382
Claude,0,0.2247191011235955
Claude,0,0.3651685393258427
Claude,0.018867924528301886,0.6292134831460674
Claude,0.018867924528301886,0.7696629213483146
Claude,0.018867924528301886,0.7808988764044944
Claude,0.018867924528301886,0.7921348314606742
Claude,0.018867924528301886,0.8370786516853933
Claude,0.03773584905660377,0.8707865168539326
Claude,0.03773584905660377,0.8876404494382022
Claude,0.03773584905660377,0.9157303370786517
Claude,0.05660377358490566,0.9213483146067416
Claude,0.16981132075471697,0.9213483146067416
Claude,0.18867924528301888,0.9213483146067416
Claude,1,1
Model Dermatol,0,0
Model Dermatol,0,0.03932584269662921
Model Dermatol,0,0.056179775280898875
Model Dermatol,0,0.06741573033707865
Model Dermatol,0,0.08426966292134831
Model Dermatol,0,0.09550561797752809
Model Dermatol,0,0.10112359550561797
Model Dermatol,0,0.10674157303370786
Model Dermatol,0,0.11797752808988764
Model Dermatol,0,0.12921348314606743
Model Dermatol,0,0.15168539325842698
Model Dermatol,0,0.16292134831460675
Model Dermatol,0,0.17415730337078653
Model Dermatol,0,0.1797752808988764
Model Dermatol,0,0.1853932584269663
Model Dermatol,0,0.20224719101123595
Model Dermatol,0,0.21910112359550563
Model Dermatol,0,0.2247191011235955
Model Dermatol,0,0.2303370786516854
Model Dermatol,0,0.24157303370786518
Model Dermatol,0,0.24719101123595505
Model Dermatol,0,0.25842696629213485
Model Dermatol,0,0.28651685393258425
Model Dermatol,0,0.29213483146067415
Model Dermatol,0,0.30337078651685395
Model Dermatol,0,0.3146067415730337
Model Dermatol,0,0.3202247191011236
Model Dermatol,0,0.33707865168539325
Model Dermatol,0,0.3539325842696629
Model Dermatol,0,0.3651685393258427
Model Dermatol,0,0.37640449438202245
Model Dermatol,0,0.38202247191011235
Model Dermatol,0,0.4044943820224719
Model Dermatol,0,0.4101123595505618
Model Dermatol,0,0.42134831460674155
Model Dermatol,0,0.42696629213483145
Model Dermatol,0,0.43820224719101125
Model Dermatol,0,0.4438202247191011
Model Dermatol,0,0.4550561797752809
Model Dermatol,0,0.47191011235955055
Model Dermatol,0,0.47752808988764045
Model Dermatol,0,0.48314606741573035
Model Dermatol,0,0.5
Model Dermatol,0,0.5112359550561798
Model Dermatol,0,0.5168539325842697
